parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,extra,partied
dr0_s90,tied,factor,6395.857,6390.857,6400.857,pargp,1.0,0.0,1,,dr0_s1
dr0_s91,tied,factor,6395.188,6390.188,6400.188,pargp,1.0,0.0,1,,dr0_s1
dr0_s92,tied,factor,6235.85,6230.85,6240.85,pargp,1.0,0.0,1,,dr0_s1
dr0_s93,tied,factor,6237.61,6232.61,6242.61,pargp,1.0,0.0,1,,dr0_s1
dr0_s94,tied,factor,6237.38,6232.38,6242.38,pargp,1.0,0.0,1,,dr0_s1
dr0_s95,tied,factor,6241.35,6236.35,6246.35,pargp,1.0,0.0,1,,dr0_s1
dr0_s96,tied,factor,6286.77,6281.77,6291.77,pargp,1.0,0.0,1,,dr0_s1
dr0u39,tied,factor,6440.452,6435.452,6445.452,pargp,1.0,0.0,1,,dr0_s1
dr0u40,tied,factor,6443.314,6438.314,6448.314,pargp,1.0,0.0,1,,dr0_s1
dr0u41,tied,factor,6238.259,6233.259,6243.259,pargp,1.0,0.0,1,,dr0_s1
dr0u42,tied,factor,6242.779,6237.779,6247.779,pargp,1.0,0.0,1,,dr0_s1
dr0u43,tied,factor,6250.293,6245.293,6255.293,pargp,1.0,0.0,1,,dr0_s1
dr0u44,tied,factor,6257.039,6252.039,6262.039,pargp,1.0,0.0,1,,dr0_s1
dr0u45,tied,factor,6272.677,6267.677,6277.677,pargp,1.0,0.0,1,,dr0_s1
dr0u46,tied,factor,6266.984,6261.984,6271.984,pargp,1.0,0.0,1,,dr0_s1
dr0u47,tied,factor,6264.688,6259.688,6269.688,pargp,1.0,0.0,1,,dr0_s1
dr0u48,tied,factor,6277.782,6272.782,6282.782,pargp,1.0,0.0,1,,dr0_s1
dr0u49,tied,factor,6274.29,6269.29,6279.29,pargp,1.0,0.0,1,,dr0_s1
dr0u50,tied,factor,6283.646,6278.646,6288.646,pargp,1.0,0.0,1,,dr0_s1
dr0u51,tied,factor,6306.0,6301.0,6311.0,pargp,1.0,0.0,1,,dr0_s1
dr0u52,tied,factor,6305.32,6300.32,6310.32,pargp,1.0,0.0,1,,dr0_s1
dr0u53,tied,factor,6346.99,6341.99,6351.99,pargp,1.0,0.0,1,,dr0_s1
dr0u54,tied,factor,6350.605,6345.605,6355.605,pargp,1.0,0.0,1,,dr0_s1
dr0u55,tied,factor,6339.759,6334.759,6344.759,pargp,1.0,0.0,1,,dr0_s1
dr0u56,tied,factor,6312.065,6307.065,6317.065,pargp,1.0,0.0,1,,dr0_s1
dr0_s97,tied,factor,6287.57,6282.57,6292.57,pargp,1.0,0.0,1,,dr0_s1
dr0_s98,tied,factor,6290.14,6285.14,6295.14,pargp,1.0,0.0,1,,dr0_s1
dr0_s99,tied,factor,6290.73,6285.73,6295.73,pargp,1.0,0.0,1,,dr0_s1
dr0_s100,tied,factor,6309.47,6304.47,6314.47,pargp,1.0,0.0,1,,dr0_s1
dr0_s101,tied,factor,6320.62,6315.62,6325.62,pargp,1.0,0.0,1,,dr0_s1
dr0_s102,tied,factor,6373.75,6368.75,6378.75,pargp,1.0,0.0,1,,dr0_s1
dr0_s103,tied,factor,6373.75,6368.75,6378.75,pargp,1.0,0.0,1,,dr0_s1
dr0_s104,tied,factor,6373.75,6368.75,6378.75,pargp,1.0,0.0,1,,dr0_s1
dr0_s105,tied,factor,6394.14,6389.14,6399.14,pargp,1.0,0.0,1,,dr0_s1
dr0_s106,tied,factor,6394.45,6389.45,6399.45,pargp,1.0,0.0,1,,dr0_s1
dr0_s107,tied,factor,6393.85,6388.85,6398.85,pargp,1.0,0.0,1,,dr0_s1
dr0_s108,tied,factor,6393.61,6388.61,6398.61,pargp,1.0,0.0,1,,dr0_s1
dr0_s109,tied,factor,6392.13,6387.13,6397.13,pargp,1.0,0.0,1,,dr0_s1
dr0_s110,tied,factor,6392.13,6387.13,6397.13,pargp,1.0,0.0,1,,dr0_s1
dr0_s111,tied,factor,6424.92,6419.92,6429.92,pargp,1.0,0.0,1,,dr0_s1
dr0_s112,tied,factor,6454.03,6449.03,6459.03,pargp,1.0,0.0,1,,dr0_s1
