obsnme,obsval,weight,obgnme,extra
ucon_usecol:kper:014_name:ef-6_k:9_j:203_k:47,25.3972,1.0,obgnme,
ucon_usecol:kper:015_name:ef-6_k:9_j:203_k:47,26.11102,1.0,obgnme,
ucon_usecol:kper:016_name:ef-6_k:9_j:203_k:47,27.224272,1.0,obgnme,
ucon_usecol:kper:017_name:ef-6_k:9_j:203_k:47,28.147993,1.0,obgnme,
ucon_usecol:kper:018_name:ef-6_k:9_j:203_k:47,33.7748,1.0,obgnme,
ucon_usecol:kper:019_name:ef-6_k:9_j:203_k:47,272.31085,1.0,obgnme,
ucon_usecol:kper:020_name:ef-6_k:9_j:203_k:47,663.5294,1.0,obgnme,
ucon_usecol:kper:021_name:ef-6_k:9_j:203_k:47,781.7839,1.0,obgnme,
ucon_usecol:kper:022_name:ef-6_k:9_j:203_k:47,787.2806,1.0,obgnme,
ucon_usecol:kper:023_name:ef-6_k:9_j:203_k:47,792.29504,1.0,obgnme,
ucon_usecol:kper:024_name:ef-6_k:9_j:203_k:47,796.6092,1.0,obgnme,
ucon_usecol:kper:025_name:ef-6_k:9_j:203_k:47,799.89813,1.0,obgnme,
ucon_usecol:kper:026_name:ef-6_k:9_j:203_k:47,802.0493,1.0,obgnme,
ucon_usecol:kper:027_name:ef-6_k:9_j:203_k:47,802.76154,1.0,obgnme,
ucon_usecol:kper:028_name:ef-6_k:9_j:203_k:47,801.9859,1.0,obgnme,
ucon_usecol:kper:029_name:ef-6_k:9_j:203_k:47,799.84814,1.0,obgnme,
ucon_usecol:kper:030_name:ef-6_k:9_j:203_k:47,796.7931,1.0,obgnme,
ucon_usecol:kper:031_name:ef-6_k:9_j:203_k:47,793.2047,1.0,obgnme,
ucon_usecol:kper:032_name:ef-6_k:9_j:203_k:47,789.08936,1.0,obgnme,
ucon_usecol:kper:033_name:ef-6_k:9_j:203_k:47,784.58887,1.0,obgnme,
ucon_usecol:kper:034_name:ef-6_k:9_j:203_k:47,779.8093,1.0,obgnme,
ucon_usecol:kper:035_name:ef-6_k:9_j:203_k:47,774.74506,1.0,obgnme,
ucon_usecol:kper:036_name:ef-6_k:9_j:203_k:47,769.5744,1.0,obgnme,
ucon_usecol:kper:037_name:ef-6_k:9_j:203_k:47,764.32294,1.0,obgnme,
ucon_usecol:kper:038_name:ef-6_k:9_j:203_k:47,759.08563,1.0,obgnme,
ucon_usecol:kper:039_name:ef-6_k:9_j:203_k:47,753.92175,1.0,obgnme,
ucon_usecol:kper:040_name:ef-6_k:9_j:203_k:47,748.88763,1.0,obgnme,
ucon_usecol:kper:041_name:ef-6_k:9_j:203_k:47,744.08746,1.0,obgnme,
ucon_usecol:kper:042_name:ef-6_k:9_j:203_k:47,739.5009,1.0,obgnme,
ucon_usecol:kper:043_name:ef-6_k:9_j:203_k:47,735.25665,1.0,obgnme,
ucon_usecol:kper:044_name:ef-6_k:9_j:203_k:47,731.22046,1.0,obgnme,
ucon_usecol:kper:045_name:ef-6_k:9_j:203_k:47,727.4673,1.0,obgnme,
ucon_usecol:kper:046_name:ef-6_k:9_j:203_k:47,723.9705,1.0,obgnme,
ucon_usecol:kper:047_name:ef-6_k:9_j:203_k:47,720.7656,1.0,obgnme,
ucon_usecol:kper:048_name:ef-6_k:9_j:203_k:47,717.71515,1.0,obgnme,
ucon_usecol:kper:049_name:ef-6_k:9_j:203_k:47,714.85944,1.0,obgnme,
ucon_usecol:kper:050_name:ef-6_k:9_j:203_k:47,712.2143,1.0,obgnme,
ucon_usecol:kper:051_name:ef-6_k:9_j:203_k:47,709.8018,1.0,obgnme,
ucon_usecol:kper:052_name:ef-6_k:9_j:203_k:47,707.5055,1.0,obgnme,
ucon_usecol:kper:053_name:ef-6_k:9_j:203_k:47,705.3218,1.0,obgnme,
ucon_usecol:kper:054_name:ef-6_k:9_j:203_k:47,703.1409,1.0,obgnme,
ucon_usecol:kper:055_name:ef-6_k:9_j:203_k:47,700.9894,1.0,obgnme,
ucon_usecol:kper:056_name:ef-6_k:9_j:203_k:47,698.8659,1.0,obgnme,
ucon_usecol:kper:057_name:ef-6_k:9_j:203_k:47,696.77765,1.0,obgnme,
ucon_usecol:kper:058_name:ef-6_k:9_j:203_k:47,694.7026,1.0,obgnme,
ucon_usecol:kper:059_name:ef-6_k:9_j:203_k:47,692.62256,1.0,obgnme,
ucon_usecol:kper:060_name:ef-6_k:9_j:203_k:47,690.57056,1.0,obgnme,
ucon_usecol:kper:061_name:ef-6_k:9_j:203_k:47,688.5639,1.0,obgnme,
ucon_usecol:kper:062_name:ef-6_k:9_j:203_k:47,686.6368,1.0,obgnme,
ucon_usecol:kper:063_name:ef-6_k:9_j:203_k:47,684.8111,1.0,obgnme,
ucon_usecol:kper:064_name:ef-6_k:9_j:203_k:47,683.12103,1.0,obgnme,
ucon_usecol:kper:065_name:ef-6_k:9_j:203_k:47,681.5138,1.0,obgnme,
ucon_usecol:kper:066_name:ef-6_k:9_j:203_k:47,679.9595,1.0,obgnme,
ucon_usecol:kper:067_name:ef-6_k:9_j:203_k:47,678.5018,1.0,obgnme,
ucon_usecol:kper:068_name:ef-6_k:9_j:203_k:47,677.151,1.0,obgnme,
